iata_code;city;name;latitude_deg;longitude_deg;elevation_ft
ABQ;Albuquerque, NM;Albuquerque International Sunport;35.040199;-106.609001;5355
ACV;Arcata/Eureka, CA;California Redwood Coast-Humboldt County International Airport;40.978101;-124.109;221
ADW;Camp Springs, MD;Joint Base Andrews;38.810799;-76.866997;280
AFW;Fort Worth, TX;Fort Worth Alliance Airport;32.9875984192;-97.3188018799;722
AGS;Augusta, GA;Augusta Regional At Bush Field;33.3698997498;-81.9645004272;144
AMA;Amarillo, TX;Rick Husband Amarillo International Airport;35.219398;-101.706001;3607
ANC;Anchorage, AK;Ted Stevens Anchorage International Airport;61.1744;-149.996002;152
ATL;Atlanta, GA;Hartsfield Jackson Atlanta International Airport;33.6367;-84.428101;1026
AUS;Austin, TX;Austin Bergstrom International Airport;30.197535;-97.662015;542
BAB;Marysville, CA;Beale Air Force Base;39.136100769;-121.43699646;113
BAD;Bossier City, LA;Barksdale Air Force Base;32.5018005371;-93.6626968384;166
BDL;Hartford, CT;Bradley International Airport;41.9388999939;-72.6831970215;173
BGR;Bangor, ME;Bangor International Airport;44.8073997498;-68.8281021118;192
BHM;Birmingham, AL;Birmingham-Shuttlesworth International Airport;33.56290054;-86.75350189;650
BIL;Billings, MT;Billings Logan International Airport;45.8077011108;-108.5429992676;3652
BLD;Boulder City, NV;Boulder City-Lake Mead International Airport;35.947498;-114.861;2201
BLV;Belleville, IL;Scott AFB/Midamerica Airport;38.5452;-89.835197;459
BMI;Bloomington/Normal, IL;Central Illinois Regional Airport at Bloomington-Normal;40.47710037;-88.91590118;871
BNA;Nashville, TN;Nashville International Airport;36.1245002747;-86.6781997681;599
BOI;Boise, ID;Boise Air Terminal/Gowen Field;43.5644;-116.223;2871
BOS;Boston, MA;Logan International Airport;42.3643;-71.005203;20
BUF;Buffalo, NY;Buffalo Niagara International Airport;42.94049835;-78.73220062;728
BWI;Baltimore, MD;Baltimore/Washington International Thurgood Marshall Airport;39.1754;-76.668297;146
CAE;Columbia, SC;Columbia Metropolitan Airport;33.9388008118;-81.1194992065;236
CBM;Columbus, MS;Columbus Air Force Base;33.6437988281;-88.4438018799;219
CHA;Chattanooga, TN;Chattanooga Metropolitan Airport (Lovell Field);35.035301;-85.203796;683
CHS;Charleston, SC;Charleston International Airport;32.898602;-80.040497;46
CID;Cedar Rapids, IA;The Eastern Iowa Airport;41.884701;-91.7108;869
CLE;Cleveland, OH;Cleveland Hopkins International Airport;41.4117012024;-81.8498001099;791
CLT;Charlotte, NC;Charlotte Douglas International Airport;35.2140007019;-80.9430999756;748
CMH;Columbus, OH;John Glenn Columbus International Airport;39.998001;-82.891899;815
COS;Colorado Springs, CO;City of Colorado Springs Municipal Airport;38.805801;-104.700996;6187
CRP;Corpus Christi, TX;Corpus Christi International Airport;27.7703990936;-97.5011978149;44
CRW;Charleston, WV;Yeager Airport;38.3731002808;-81.5932006836;981
CVG;Cincinnati / Covington, KY;Cincinnati Northern Kentucky International Airport;39.048801;-84.667801;896
DAL;Dallas, TX;Dallas Love Field;32.847099;-96.851799;487
DAY;Dayton, OH;James M Cox Dayton International Airport;39.9024009705;-84.2193984985;1009
DCA;Washington, DC;Ronald Reagan Washington National Airport;38.8521;-77.037697;15
DEN;Denver, CO;Denver International Airport;39.8616981506;-104.672996521;5431
DFW;Dallas-Fort Worth, TX;Dallas Fort Worth International Airport;32.896801;-97.038002;607
DLF;Del Rio, TX;Laughlin Air Force Base;29.359501;-100.778002;1082
DLH;Duluth, MN;Duluth International Airport;46.8420982361;-92.1936035156;1428
DOV;Dover, DE;Dover Air Force Base;39.12950134;-75.46600342;24
DTW;Detroit, MI;Detroit Metropolitan Wayne County Airport;42.2123985291;-83.3534011841;645
DYS;Abilene, TX;Dyess Air Force Base;32.4207992554;-99.854598999;1789
EDW;Edwards, CA;Edwards Air Force Base;34.905399;-117.884003;2312
END;Enid, OK;Vance Air Force Base;36.3391990662;-97.9164962769;1307
ERI;Erie, PA;Erie International Tom Ridge Field;42.0831270134;-80.1738667488;732
EWR;New York, NJ;Newark Liberty International Airport;40.692501;-74.168701;18
FAI;Fairbanks, AK;Fairbanks International Airport;64.81510162;-147.8560028;439
FFO;Dayton, OH;Wright-Patterson Air Force Base;39.8260993958;-84.0483016968;823
FLG;Flagstaff, AZ;Flagstaff Pulliam International Airport;35.1385;-111.670998;7014
